"x","y","des","area","slope","soil","lucl","Pa","Pe","CN"
252282.3761,1809138.4014,1,129.841598510742,0.764299988746643,1,3,5.29960012435913,227.338394165039,79
250787.3761,1811238.4014,1,208.888305664062,0.665199995040894,1,3,5.38199996948242,227.338394165039,79
250777.3761,1811213.4014,1,208.956695556641,0.661099970340729,1,3,5.38159990310669,227.338394165039,79
250897.3761,1811338.4014,1,262.733612060547,0.55460000038147,1,3,5.38339996337891,227.338394165039,79
250932.3761,1811313.4014,1,94.3908004760742,0.396899998188019,1,3,5.38210010528564,227.338394165039,79
249572.3761,1808523.4014,1,201.637405395508,0.609499990940094,1,3,5.36649990081787,227.338394165039,79.035400390625
249062.3761,1808563.4014,1,123.30770111084,0.328399986028671,1,3,5.36709976196289,227.338394165039,79
250182.3761,1808453.4014,1,206.738403320312,0.579999983310699,1,1,5.35790014266968,227.338394165039,73
250152.3761,1808513.4014,1,390.969604492188,0.615599989891052,1,1,5.3585000038147,227.338394165039,73
249347.3761,1808228.4014,1,263.454498291016,0.691699981689453,1,3,5.36609983444214,227.338394165039,79
249337.3761,1808263.4014,1,149.113998413086,0.601599991321564,1,3,5.36630010604858,227.338394165039,79
249292.3761,1809208.4014,1,459.699798583984,0.575100004673004,1,3,5.36709976196289,227.338394165039,79
249167.3761,1808303.4014,1,321.436614990234,0.712100028991699,1,3,5.36670017242432,227.338394165039,79
249162.3761,1808258.4014,1,256.512786865234,0.807900011539459,1,3,5.36660003662109,227.338394165039,79
249232.3761,1809023.4014,1,48.3736000061035,0.289400011301041,1,3,5.36700010299683,227.338394165039,79
249322.3761,1808988.4014,1,374.070495605469,0.814000010490417,1,6,5.36709976196289,227.338394165039,82.4942016601562
249152.3761,1808348.4014,1,105.358901977539,0.656599998474121,1,3,5.36679983139038,227.338394165039,79
249282.3761,1808668.4014,1,50.9227981567383,0.64029997587204,1,3,5.36700010299683,227.338394165039,79
249302.3761,1808523.4014,1,61.2051010131836,0.502300024032593,1,3,5.3668999671936,227.338394165039,79
249182.3761,1809173.4014,1,400.436492919922,0.677600026130676,1,3,5.36700010299683,227.338394165039,79
249132.3761,1809118.4014,1,514.004089355469,0.620999991893768,1,3,5.36700010299683,227.338394165039,79
250122.3761,1809588.4014,1,758.521911621094,0.64520001411438,1,3,5.36819982528687,227.338394165039,79
247812.3761,1807453.4014,1,138.470092773438,0.680199980735779,1,3,5.36359977722168,227.338394165039,79
248062.3761,1808223.4014,1,232.201705932617,0.649500012397766,1,3,5.36889982223511,227.338394165039,79
248147.3761,1808198.4014,1,494.402008056641,0.689000010490417,1,3,5.3685998916626,227.338394165039,79
248132.3761,1808213.4014,1,403.658905029297,0.698400020599365,1,3,5.36870002746582,227.338394165039,79
247937.3761,1808103.4014,1,205.301605224609,0.677500009536743,1,3,5.36920022964478,227.338394165039,79
