index,Ks,Cmin,Cmax,phimin,phimax,h,dens,porosity,hsg
(),(m/s),(kPa),(kPa),(degree),(degree),(m),kg/m3,(m3/m3),()
1,0.000001,0,5,20,40,1,2000,0.3,C
2,0.00001,0,3,25,45,1,2000,0.3,C
3,0.0001,0,3,35,45,1,2000,0.35,B
4,0.001,0,2,35,45,1,2000,0.4,A
